,Duration,Magnitude,%_users,Outflow_percentile_violation,Classification
270,4,9.0,57.0,0,Encompassing
271,2,5.0,45.0,0,Encompassing
272,2,5.0,51.0,1,Paleo
273,2,5.0,54.0,1,Encompassing
274,2,5.0,50.0,0,Paleo
275,2,5.0,44.0,0,Encompassing
276,0,0.0,0.0,0,Paleo
277,3,5.0,48.0,0,Paleo
278,2,4.0,42.0,1,Paleo
279,2,5.0,49.0,0,Encompassing
280,2,5.0,50.0,0,Encompassing
281,0,0.0,0.0,0,History
282,2,4.0,43.0,1,Encompassing
283,2,4.0,36.0,1,Paleo
284,2,4.0,52.0,1,Paleo
285,2,4.0,45.0,1,Paleo
286,2,4.0,40.0,0,Paleo
287,2,4.0,48.0,1,Encompassing
288,2,4.0,52.0,1,Paleo
289,3,5.0,53.0,1,Encompassing
290,2,4.0,25.0,2,History
291,4,14.0,64.0,0,Encompassing
292,5,16.0,66.0,0,Encompassing
293,5,15.0,65.0,0,Encompassing
294,5,15.0,66.0,0,Encompassing
295,4,13.0,62.0,0,Encompassing
296,4,14.0,63.0,0,Encompassing
297,5,15.0,61.0,0,Encompassing
298,4,17.0,63.0,0,Encompassing
299,4,16.0,63.0,0,Encompassing
300,4,16.0,66.0,0,Encompassing
301,0,0.0,0.0,0,History
302,5,6.0,51.0,1,History
303,0,0.0,0.0,0,History
304,0,0.0,0.0,0,History
305,0,0.0,0.0,0,History
306,3,5.0,42.0,1,History
307,0,0.0,0.0,0,History
308,0,0.0,0.0,0,History
309,3,6.0,56.0,2,History
310,4,8.0,58.0,0,Paleo
311,2,6.0,50.0,0,Encompassing
312,2,6.0,47.0,0,Encompassing
313,3,6.0,51.0,0,Encompassing
314,2,6.0,49.0,0,Encompassing
315,3,7.0,60.0,0,Encompassing
316,2,6.0,50.0,0,Encompassing
317,2,6.0,52.0,0,Encompassing
318,2,6.0,52.0,0,Encompassing
319,2,6.0,50.0,0,Encompassing
320,2,6.0,53.0,0,Encompassing
321,0,0.0,0.0,0,History
322,0,0.0,0.0,0,History
323,4,7.0,48.0,999,History
324,0,0.0,0.0,0,History
325,2,6.0,46.0,1,History
326,4,5.0,44.0,999,History
327,0,0.0,0.0,0,History
328,3,5.0,55.0,1,Paleo
329,3,5.0,40.0,1,History
330,4,5.0,49.0,1,History
331,2,5.0,40.0,0,Encompassing
332,2,4.0,40.0,0,Encompassing
333,2,5.0,49.0,0,Encompassing
334,1,4.0,44.0,0,Encompassing
335,2,4.0,44.0,0,Encompassing
336,2,5.0,49.0,0,Encompassing
337,2,4.0,42.0,0,Encompassing
338,2,4.0,42.0,0,Encompassing
339,2,4.0,42.0,0,Encompassing
340,2,5.0,48.0,0,Encompassing
341,2,5.0,45.0,1,Paleo
342,2,5.0,47.0,1,Paleo
343,2,5.0,48.0,0,Paleo
344,2,5.0,49.0,0,Encompassing
345,3,4.0,41.0,1,Paleo
346,3,5.0,42.0,1,History
347,2,5.0,46.0,0,Encompassing
348,2,5.0,52.0,1,Paleo
349,2,5.0,50.0,0,Encompassing
350,3,6.0,51.0,0,Encompassing
351,2,4.0,43.0,0,Encompassing
352,2,5.0,41.0,0,Encompassing
353,2,4.0,39.0,0,Encompassing
354,2,5.0,41.0,0,Encompassing
355,2,4.0,45.0,0,Encompassing
356,2,4.0,44.0,0,Paleo
357,2,5.0,44.0,0,Encompassing
358,2,4.0,43.0,0,Encompassing
359,2,4.0,42.0,0,Paleo
360,2,4.0,38.0,0,Encompassing
361,3,5.0,59.0,0,Encompassing
362,2,4.0,39.0,0,Encompassing
363,4,7.0,70.0,0,Encompassing
364,4,7.0,68.0,0,Encompassing
365,4,7.0,70.0,0,Encompassing
366,4,6.0,59.0,0,Encompassing
367,4,8.0,65.0,0,Encompassing
368,1,4.0,35.0,1,Encompassing
369,3,5.0,53.0,0,Encompassing
370,4,7.0,62.0,0,Encompassing
371,2,4.0,41.0,1,Paleo
372,2,4.0,40.0,1,Paleo
373,2,4.0,38.0,1,Paleo
374,2,4.0,45.0,0,Paleo
375,3,5.0,31.0,1,History
376,2,3.0,32.0,2,History
377,2,5.0,43.0,1,Paleo
378,2,5.0,45.0,1,Paleo
379,2,4.0,37.0,1,Paleo
380,2,5.0,34.0,2,History
381,2,4.0,38.0,0,Encompassing
382,2,4.0,39.0,0,Encompassing
383,2,5.0,48.0,0,Encompassing
384,2,4.0,44.0,0,Encompassing
385,2,4.0,41.0,0,Encompassing
386,2,4.0,42.0,0,Encompassing
387,2,5.0,41.0,0,Encompassing
388,2,5.0,45.0,0,Encompassing
389,1,4.0,40.0,0,Encompassing
390,2,4.0,51.0,0,Encompassing
391,3,7.0,57.0,0,Encompassing
392,3,7.0,56.0,0,Encompassing
393,3,6.0,59.0,0,Encompassing
394,3,6.0,56.0,0,Encompassing
395,3,6.0,55.0,0,Encompassing
396,3,6.0,56.0,0,Encompassing
397,3,6.0,54.0,0,Encompassing
398,3,6.0,50.0,0,Encompassing
399,3,6.0,55.0,0,Encompassing
400,3,6.0,55.0,0,Encompassing
401,3,13.0,60.0,0,Encompassing
402,3,10.0,56.0,0,Encompassing
403,3,13.0,61.0,0,Encompassing
404,4,12.0,59.0,0,Encompassing
405,3,14.0,58.0,0,Encompassing
406,3,13.0,60.0,0,Encompassing
407,3,10.0,57.0,0,Encompassing
408,3,11.0,54.0,0,Encompassing
409,4,13.0,59.0,0,Encompassing
410,4,12.0,57.0,0,Encompassing
411,5,12.0,69.0,0,Encompassing
412,5,13.0,73.0,0,Encompassing
413,4,12.0,70.0,0,Encompassing
414,5,13.0,76.0,0,Encompassing
415,4,11.0,74.0,0,Encompassing
416,5,15.0,76.0,0,Encompassing
417,5,12.0,70.0,0,Encompassing
418,5,12.0,73.0,0,Encompassing
419,5,12.0,68.0,0,Encompassing
420,4,13.0,68.0,0,Encompassing
421,0,0.0,0.0,0,History
422,0,0.0,0.0,0,History
423,0,0.0,0.0,0,History
424,0,0.0,0.0,0,History
425,0,0.0,0.0,0,History
426,2,4.0,31.0,2,History
427,0,0.0,0.0,0,History
428,0,0.0,0.0,0,History
429,0,0.0,0.0,0,History
430,0,0.0,0.0,0,History
431,3,5.0,53.0,2,History
432,4,6.0,60.0,1,Paleo
433,4,6.0,60.0,0,Paleo
434,0,0.0,0.0,0,History
435,0,0.0,0.0,0,History
436,3,5.0,47.0,1,Paleo
437,0,0.0,0.0,0,History
438,4,5.0,62.0,1,Paleo
439,3,7.0,56.0,1,History
440,3,6.0,56.0,1,History
441,3,8.0,57.0,0,Encompassing
442,3,8.0,54.0,0,Encompassing
443,3,11.0,59.0,0,Encompassing
444,3,10.0,57.0,0,Encompassing
445,3,9.0,53.0,0,Encompassing
446,3,9.0,64.0,0,Encompassing
447,3,10.0,60.0,0,Encompassing
448,3,9.0,62.0,0,Encompassing
449,3,9.0,59.0,0,Encompassing
450,3,9.0,54.0,0,Encompassing
451,2,4.0,34.0,1,Paleo
452,1,4.0,27.0,1,History
453,2,4.0,30.0,1,Paleo
454,1,4.0,29.0,1,Paleo
455,1,4.0,34.0,1,Paleo
456,1,4.0,29.0,1,Paleo
457,1,4.0,34.0,1,Paleo
458,2,4.0,32.0,1,Paleo
459,2,4.0,30.0,1,History
460,0,0.0,0.0,0,History
461,3,10.0,61.0,0,Encompassing
462,3,8.0,62.0,0,Encompassing
463,3,8.0,60.0,0,Encompassing
464,3,8.0,62.0,0,Encompassing
465,3,9.0,66.0,0,Encompassing
466,3,8.0,58.0,0,Encompassing
467,4,8.0,61.0,0,Encompassing
468,3,7.0,64.0,0,Encompassing
469,3,8.0,64.0,0,Encompassing
470,3,7.0,64.0,0,Encompassing
471,3,5.0,52.0,0,Encompassing
472,2,5.0,50.0,0,Encompassing
473,2,5.0,50.0,0,Encompassing
474,3,6.0,55.0,0,Encompassing
475,3,5.0,50.0,1,Encompassing
476,3,5.0,51.0,0,Encompassing
477,3,5.0,51.0,0,Encompassing
478,3,5.0,48.0,0,Encompassing
479,2,4.0,52.0,1,Encompassing
480,2,5.0,50.0,1,Encompassing
481,0,0.0,0.0,0,Encompassing
482,2,4.0,46.0,0,Encompassing
483,2,5.0,48.0,0,Encompassing
484,2,4.0,44.0,1,Paleo
485,2,5.0,48.0,0,Encompassing
486,2,4.0,45.0,0,Encompassing
487,2,5.0,52.0,0,Encompassing
488,2,5.0,49.0,0,Paleo
489,2,4.0,48.0,0,Encompassing
490,2,5.0,53.0,0,Encompassing
491,2,3.0,34.0,1,Encompassing
492,1,3.0,31.0,1,Paleo
493,1,3.0,35.0,1,Paleo
494,2,4.0,36.0,0,Encompassing
495,1,3.0,29.0,1,Paleo
496,2,4.0,35.0,1,Encompassing
497,2,4.0,34.0,0,Paleo
498,1,4.0,37.0,1,Encompassing
499,1,4.0,36.0,1,Encompassing
500,1,4.0,38.0,1,Encompassing
501,3,6.0,66.0,1,Encompassing
502,3,7.0,60.0,0,Encompassing
503,3,6.0,69.0,0,Encompassing
504,4,7.0,61.0,0,Encompassing
505,3,6.0,62.0,0,Encompassing
506,4,8.0,60.0,0,Encompassing
507,3,7.0,66.0,0,Encompassing
508,3,7.0,64.0,0,Encompassing
509,4,6.0,64.0,1,Encompassing
510,4,7.0,66.0,0,Encompassing
511,0,0.0,0.0,0,History
512,0,0.0,0.0,0,History
513,0,0.0,0.0,0,History
514,2,5.0,44.0,999,History
515,2,6.0,41.0,1,History
516,0,0.0,0.0,0,History
517,2,6.0,45.0,1,Paleo
518,3,6.0,50.0,1,Paleo
519,2,4.0,44.0,999,History
520,0,0.0,0.0,0,History
521,3,6.0,48.0,0,Encompassing
522,3,6.0,51.0,0,Encompassing
523,3,6.0,51.0,0,Encompassing
524,2,6.0,50.0,0,Encompassing
525,3,5.0,51.0,0,Encompassing
526,2,5.0,48.0,0,Encompassing
527,2,6.0,49.0,0,Encompassing
528,2,5.0,50.0,0,Encompassing
529,2,6.0,48.0,0,Encompassing
530,2,5.0,51.0,0,Encompassing
531,4,7.0,59.0,0,Encompassing
532,3,8.0,60.0,0,Paleo
533,3,8.0,59.0,0,Paleo
534,3,11.0,53.0,0,History
535,3,9.0,59.0,0,Paleo
536,4,9.0,58.0,0,Encompassing
537,3,8.0,51.0,1,History
538,4,11.0,58.0,0,Encompassing
539,3,10.0,61.0,0,Encompassing
540,3,9.0,58.0,0,Encompassing
541,3,6.0,64.0,0,Encompassing
542,2,5.0,56.0,0,Encompassing
543,2,5.0,52.0,0,Encompassing
544,3,5.0,58.0,0,Encompassing
545,3,5.0,59.0,0,Encompassing
546,3,6.0,60.0,0,Encompassing
547,3,5.0,55.0,0,Encompassing
548,3,6.0,63.0,0,Encompassing
549,4,6.0,66.0,0,Encompassing
550,3,6.0,61.0,0,Encompassing
551,0,0.0,0.0,0,History
552,4,8.0,64.0,1,Paleo
553,4,7.0,59.0,0,Paleo
554,5,9.0,68.0,0,Encompassing
555,4,10.0,65.0,0,Encompassing
556,4,9.0,65.0,0,Encompassing
557,4,8.0,64.0,1,Paleo
558,4,8.0,69.0,0,Paleo
559,4,8.0,61.0,0,Paleo
560,3,7.0,61.0,0,Paleo
561,5,15.0,67.0,0,Encompassing
562,5,18.0,67.0,0,Encompassing
563,5,21.0,69.0,0,Encompassing
564,5,16.0,67.0,0,Encompassing
565,5,13.0,71.0,0,Encompassing
566,5,16.0,69.0,0,Encompassing
567,5,16.0,70.0,0,Encompassing
568,5,15.0,70.0,0,Encompassing
569,5,17.0,71.0,0,Encompassing
570,5,16.0,69.0,0,Encompassing
571,4,12.0,69.0,0,Encompassing
572,4,13.0,70.0,0,Encompassing
573,4,12.0,69.0,0,Encompassing
574,3,11.0,62.0,0,Encompassing
575,3,8.0,71.0,0,Encompassing
576,4,11.0,67.0,0,Encompassing
577,4,14.0,66.0,0,Encompassing
578,4,9.0,69.0,0,Encompassing
579,4,11.0,72.0,0,Encompassing
580,5,10.0,66.0,0,Encompassing
581,2,5.0,48.0,0,Encompassing
582,2,4.0,49.0,0,Encompassing
583,2,4.0,46.0,1,Encompassing
584,2,5.0,45.0,0,Encompassing
585,2,4.0,48.0,0,Encompassing
586,2,4.0,48.0,0,Encompassing
587,2,5.0,46.0,0,Encompassing
588,2,4.0,46.0,0,Encompassing
589,2,4.0,44.0,0,Encompassing
590,2,4.0,42.0,0,Encompassing
591,4,13.0,64.0,0,Encompassing
592,4,14.0,65.0,0,Encompassing
593,4,13.0,67.0,0,Encompassing
594,4,14.0,70.0,0,Encompassing
595,4,14.0,65.0,0,Encompassing
596,4,15.0,69.0,0,Encompassing
597,4,14.0,68.0,0,Encompassing
598,4,11.0,62.0,0,Encompassing
599,4,13.0,63.0,0,Encompassing
600,5,15.0,66.0,0,Encompassing
601,2,5.0,40.0,0,Encompassing
602,2,5.0,39.0,0,Encompassing
603,2,5.0,41.0,0,Encompassing
604,2,5.0,41.0,0,Encompassing
605,2,5.0,41.0,0,Encompassing
606,2,5.0,43.0,0,Encompassing
607,2,5.0,46.0,0,Encompassing
608,2,5.0,42.0,0,Encompassing
609,2,5.0,45.0,0,Encompassing
610,2,5.0,41.0,0,Encompassing
611,5,9.0,71.0,1,Paleo
612,4,9.0,74.0,1,Paleo
613,4,9.0,70.0,0,Encompassing
614,5,12.0,78.0,1,Paleo
615,4,10.0,70.0,0,Encompassing
616,5,10.0,70.0,0,Paleo
617,4,11.0,77.0,0,Paleo
618,4,11.0,73.0,0,Paleo
619,4,10.0,71.0,0,Encompassing
620,4,9.0,73.0,0,Paleo
621,0,0.0,0.0,0,History
622,0,0.0,0.0,0,History
623,0,0.0,0.0,0,History
624,0,0.0,0.0,0,History
625,0,0.0,0.0,0,History
626,0,0.0,0.0,0,History
627,0,0.0,0.0,0,History
628,0,0.0,0.0,0,History
629,0,0.0,0.0,0,History
630,0,0.0,0.0,0,History
631,0,0.0,0.0,0,History
632,1,4.0,32.0,2,History
633,2,4.0,33.0,1,Paleo
634,0,0.0,0.0,0,History
635,2,5.0,31.0,1,History
636,2,4.0,29.0,0,History
637,0,0.0,0.0,0,History
638,1,4.0,30.0,1,History
639,3,4.0,42.0,1,Paleo
640,2,4.0,29.0,1,History
641,0,0.0,0.0,0,History
642,0,0.0,0.0,0,History
643,0,0.0,0.0,0,History
644,0,0.0,0.0,0,History
645,0,0.0,0.0,0,History
646,0,0.0,0.0,0,History
647,0,0.0,0.0,0,History
648,0,0.0,0.0,0,History
649,2,3.0,28.0,999,History
650,0,0.0,0.0,0,History
651,0,0.0,0.0,0,History
652,3,6.0,39.0,1,History
653,0,0.0,0.0,0,History
654,0,0.0,0.0,0,History
655,0,0.0,0.0,0,History
656,4,6.0,37.0,1,History
657,0,0.0,0.0,0,History
658,2,5.0,39.0,0,History
659,0,0.0,0.0,0,History
660,2,6.0,38.0,1,Paleo
661,3,4.0,54.0,0,Paleo
662,3,5.0,62.0,0,Encompassing
663,3,5.0,59.0,1,Encompassing
664,3,4.0,60.0,1,Encompassing
665,2,4.0,47.0,0,Encompassing
666,4,5.0,65.0,0,Encompassing
667,3,5.0,60.0,0,Encompassing
668,2,4.0,65.0,1,Encompassing
669,3,5.0,64.0,0,Encompassing
670,3,5.0,59.0,1,Encompassing
671,3,6.0,61.0,0,Encompassing
672,3,6.0,60.0,0,Encompassing
673,3,5.0,55.0,0,Encompassing
674,3,7.0,61.0,0,Encompassing
675,3,6.0,63.0,0,Encompassing
676,3,6.0,56.0,0,Encompassing
677,3,5.0,59.0,0,Encompassing
678,3,4.0,55.0,0,Encompassing
679,3,6.0,69.0,0,Encompassing
680,3,6.0,69.0,0,Encompassing
681,4,8.0,55.0,1,History
682,3,6.0,50.0,0,History
683,0,0.0,0.0,0,History
684,4,8.0,53.0,1,History
685,3,7.0,50.0,0,Paleo
686,3,7.0,50.0,0,Paleo
687,3,9.0,53.0,0,Paleo
688,0,0.0,0.0,0,History
689,2,6.0,47.0,0,Paleo
690,4,8.0,48.0,999,History
691,0,0.0,0.0,0,History
692,0,0.0,0.0,0,History
693,1,4.0,29.0,1,Paleo
694,3,4.0,21.0,1,History
695,1,4.0,23.0,1,History
696,1,4.0,24.0,1,History
697,1,3.0,24.0,1,History
698,0,0.0,0.0,0,History
699,2,3.0,23.0,999,History
700,2,4.0,25.0,1,History
701,2,4.0,37.0,1,Encompassing
702,2,4.0,37.0,1,Encompassing
703,1,4.0,38.0,1,Encompassing
704,2,4.0,39.0,1,Encompassing
705,2,4.0,38.0,0,Encompassing
706,2,4.0,38.0,0,Encompassing
707,2,4.0,36.0,1,Encompassing
708,1,4.0,35.0,1,Encompassing
709,2,4.0,36.0,1,Encompassing
710,2,4.0,39.0,0,Encompassing
711,0,0.0,0.0,0,History
712,0,0.0,0.0,0,History
713,0,0.0,0.0,0,History
714,0,0.0,0.0,0,History
715,0,0.0,0.0,0,History
716,0,0.0,0.0,0,History
717,0,0.0,0.0,0,History
718,0,0.0,0.0,0,History
719,0,0.0,0.0,0,History
720,0,0.0,0.0,0,History
721,0,0.0,0.0,0,History
722,0,0.0,0.0,0,History
723,3,6.0,43.0,1,History
724,0,0.0,0.0,0,History
725,0,0.0,0.0,0,History
726,0,0.0,0.0,0,History
727,0,0.0,0.0,0,History
728,0,0.0,0.0,0,History
729,3,7.0,49.0,1,History
730,2,6.0,41.0,2,History
731,2,6.0,45.0,0,Encompassing
732,2,5.0,43.0,0,Encompassing
733,2,6.0,49.0,0,Encompassing
734,2,6.0,45.0,0,Encompassing
735,2,6.0,46.0,0,Encompassing
736,2,6.0,46.0,0,Encompassing
737,2,6.0,45.0,0,Encompassing
738,2,5.0,44.0,0,Encompassing
739,2,6.0,45.0,0,Encompassing
740,2,5.0,47.0,0,Encompassing
741,0,0.0,0.0,0,History
742,0,0.0,0.0,0,History
743,0,0.0,0.0,0,History
744,0,0.0,0.0,0,History
745,0,0.0,0.0,0,History
746,0,0.0,0.0,0,History
747,0,0.0,0.0,0,History
