,Duration,Magnitude,%_users,Outflow_drought_min,Outflow_10th,%_users_36,Magnitude_36,%_users_37,Magnitude_37,%_users_38,Magnitude_38,%_users_39,Magnitude_39,%_users_45,Magnitude_45,%_users_50,Magnitude_50,%_users_51,Magnitude_51,%_users_52,Magnitude_52,%_users_53,Magnitude_53,%_users_70,Magnitude_70,%_users_72,Magnitude_72,Classification
31,0,7.0,45.0,19440.289908900017,43390.148573700586,21.0,1.0,8.0,2.0,30.0,3.0,36.0,8.0,52.0,8.0,62.0,6.0,47.0,3.0,20.0,0.0,61.0,10.0,70.0,9.0,75.0,17.0,History
32,0,5.0,47.0,18182.698473637185,23377.983938401027,21.0,1.0,12.0,1.0,32.0,3.0,48.0,5.0,52.0,7.0,66.0,5.0,49.0,2.0,20.0,0.0,61.0,8.0,70.0,8.0,77.0,12.0,Encompassing
33,0,6.0,42.0,38454.843574529994,52443.361513619515,21.0,1.0,8.0,1.0,26.0,3.0,44.0,7.0,45.0,7.0,55.0,5.0,44.0,2.0,20.0,0.0,56.0,8.0,60.0,8.0,70.0,15.0,History
34,0,5.0,49.0,17011.75420089723,26167.122870010335,25.0,1.0,12.0,2.0,33.0,4.0,44.0,5.0,58.0,7.0,62.0,6.0,56.0,3.0,20.0,0.0,61.0,9.0,70.0,9.0,79.0,12.0,Paleo
35,0,5.0,37.0,33274.8725264022,46552.11848069602,21.0,1.0,8.0,1.0,24.0,3.0,36.0,5.0,48.0,7.0,55.0,4.0,23.0,1.0,0.0,0.0,50.0,8.0,60.0,7.0,68.0,10.0,History
36,0,6.0,43.0,19228.106369664,47103.311911147706,21.0,1.0,8.0,2.0,30.0,4.0,36.0,8.0,48.0,7.0,59.0,6.0,44.0,3.0,0.0,0.0,61.0,10.0,60.0,10.0,75.0,16.0,History
37,0,6.0,48.0,19578.0611915874,30970.971519916806,21.0,2.0,12.0,2.0,32.0,4.0,44.0,7.0,58.0,8.0,62.0,7.0,49.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,79.0,16.0,Paleo
38,0,5.0,46.0,38034.75051049501,52330.74832572494,21.0,1.0,8.0,1.0,30.0,4.0,40.0,5.0,55.0,7.0,62.0,6.0,53.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,74.0,9.0,History
39,0,8.0,51.0,18938.012419494604,30951.592534053394,32.0,2.0,17.0,2.0,37.0,4.0,40.0,9.0,58.0,8.0,62.0,8.0,56.0,5.0,20.0,0.0,56.0,11.0,80.0,13.0,81.0,21.0,Paleo
40,0,0.0,0.0,0.0,64127.67574978997,,,,,,,,,,,,,,,,,,,,,,,History
41,0,5.0,57.0,29489.87441597581,36234.54155034324,43.0,1.0,33.0,1.0,43.0,3.0,56.0,6.0,58.0,6.0,66.0,4.0,58.0,2.0,20.0,0.0,61.0,9.0,80.0,8.0,89.0,13.0,Encompassing
42,0,6.0,55.0,29737.838795266212,32292.595955773933,39.0,1.0,29.0,1.0,41.0,3.0,44.0,7.0,58.0,7.0,66.0,5.0,58.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,83.0,15.0,Encompassing
43,0,6.0,53.0,24628.49691500638,31203.818346266387,25.0,1.0,21.0,2.0,41.0,4.0,48.0,7.0,61.0,7.0,66.0,6.0,56.0,3.0,20.0,0.0,56.0,9.0,80.0,10.0,87.0,16.0,Encompassing
44,0,6.0,57.0,22653.614843853,31606.43198640996,43.0,1.0,29.0,1.0,42.0,3.0,56.0,7.0,58.0,7.0,66.0,5.0,60.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,91.0,14.0,Encompassing
45,0,6.0,54.0,19729.9755765936,27071.275143961087,25.0,1.0,21.0,2.0,39.0,4.0,56.0,7.0,58.0,7.0,66.0,5.0,56.0,3.0,20.0,0.0,67.0,9.0,80.0,9.0,85.0,16.0,Encompassing
46,0,6.0,57.0,25225.09012328519,29665.69959897863,39.0,1.0,42.0,2.0,43.0,3.0,44.0,6.0,58.0,7.0,72.0,5.0,56.0,2.0,20.0,0.0,61.0,9.0,80.0,8.0,91.0,14.0,Encompassing
47,0,6.0,59.0,28507.60228588199,31823.73274824142,43.0,1.0,46.0,2.0,45.0,3.0,56.0,7.0,58.0,7.0,72.0,5.0,60.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,83.0,14.0,Encompassing
48,0,7.0,60.0,22624.704497424595,26629.81669497192,43.0,2.0,54.0,2.0,47.0,4.0,56.0,8.0,61.0,8.0,69.0,6.0,60.0,3.0,20.0,0.0,61.0,10.0,80.0,11.0,87.0,17.0,Encompassing
49,0,6.0,57.0,27751.191774704395,32946.74786537519,43.0,1.0,38.0,1.0,45.0,3.0,52.0,7.0,58.0,7.0,66.0,5.0,56.0,2.0,20.0,0.0,61.0,9.0,80.0,9.0,83.0,13.0,Encompassing
50,0,6.0,53.0,26115.361779844214,31130.892435286827,25.0,1.0,25.0,2.0,39.0,4.0,48.0,7.0,61.0,8.0,66.0,5.0,58.0,2.0,20.0,0.0,56.0,9.0,80.0,9.0,83.0,15.0,Encompassing
51,0,0.0,0.0,0.0,51800.74043858101,,,,,,,,,,,,,,,,,,,,,,,History
52,0,0.0,0.0,0.0,48943.59965533775,,,,,,,,,,,,,,,,,,,,,,,History
53,0,0.0,0.0,0.0,50062.61434429778,,,,,,,,,,,,,,,,,,,,,,,History
54,0,0.0,0.0,0.0,53616.80210682633,,,,,,,,,,,,,,,,,,,,,,,History
55,0,0.0,0.0,0.0,51224.923504348684,,,,,,,,,,,,,,,,,,,,,,,History
56,0,0.0,0.0,0.0,48103.292646051385,,,,,,,,,,,,,,,,,,,,,,,History
57,0,0.0,0.0,0.0,49925.58142381579,,,,,,,,,,,,,,,,,,,,,,,History
58,0,0.0,0.0,0.0,52420.927193337455,,,,,,,,,,,,,,,,,,,,,,,History
59,0,4.0,31.0,41038.1208078246,47916.207501089055,11.0,0.0,8.0,0.0,13.0,2.0,32.0,4.0,48.0,5.0,41.0,3.0,14.0,1.0,0.0,0.0,44.0,6.0,50.0,5.0,66.0,10.0,History
60,0,3.0,31.0,41419.223512161596,50920.47429299085,14.0,0.0,8.0,1.0,14.0,3.0,32.0,5.0,42.0,6.0,45.0,3.0,16.0,1.0,0.0,0.0,39.0,8.0,40.0,5.0,68.0,6.0,History
61,0,4.0,40.0,40600.53573838379,43901.56789011852,14.0,0.0,12.0,1.0,21.0,2.0,40.0,5.0,48.0,6.0,55.0,3.0,35.0,1.0,20.0,0.0,56.0,8.0,70.0,6.0,74.0,11.0,Paleo
62,0,5.0,38.0,42619.94896948081,47514.495042748626,14.0,1.0,8.0,1.0,20.0,3.0,36.0,6.0,48.0,7.0,52.0,4.0,35.0,1.0,20.0,0.0,50.0,8.0,60.0,6.0,70.0,11.0,History
63,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,History
64,0,5.0,46.0,34522.77989605319,42026.83911380523,21.0,1.0,12.0,1.0,30.0,3.0,40.0,6.0,52.0,7.0,62.0,5.0,47.0,1.0,20.0,0.0,61.0,8.0,70.0,9.0,77.0,10.0,Paleo
65,0,5.0,50.0,35101.290261144,40856.39958181777,25.0,1.0,17.0,1.0,34.0,3.0,40.0,6.0,58.0,6.0,62.0,5.0,53.0,2.0,20.0,0.0,61.0,8.0,80.0,8.0,81.0,11.0,Paleo
66,0,4.0,41.0,43482.9360086238,48233.311002233044,21.0,1.0,8.0,1.0,22.0,3.0,32.0,5.0,48.0,6.0,55.0,4.0,44.0,1.0,20.0,0.0,56.0,7.0,60.0,8.0,74.0,11.0,History
67,0,0.0,0.0,0.0,52667.701015994535,,,,,,,,,,,,,,,,,,,,,,,History
68,0,4.0,44.0,43844.16732116281,49486.65284599849,21.0,1.0,12.0,1.0,25.0,3.0,36.0,5.0,52.0,5.0,62.0,4.0,51.0,2.0,20.0,0.0,56.0,7.0,80.0,5.0,72.0,11.0,History
69,0,4.0,43.0,35594.06870720758,39688.07892486634,25.0,1.0,8.0,1.0,32.0,3.0,32.0,5.0,52.0,6.0,48.0,4.0,47.0,1.0,0.0,0.0,56.0,7.0,60.0,7.0,74.0,10.0,Paleo
70,0,5.0,35.0,37377.5785440546,43987.579562817955,14.0,1.0,8.0,1.0,17.0,3.0,36.0,6.0,45.0,6.0,45.0,3.0,28.0,1.0,0.0,0.0,50.0,8.0,60.0,6.0,72.0,12.0,History
71,0,5.0,51.0,37217.5971880764,39533.77701248808,21.0,1.0,25.0,1.0,38.0,3.0,56.0,6.0,58.0,7.0,62.0,4.0,49.0,1.0,20.0,0.0,61.0,8.0,80.0,8.0,81.0,12.0,Encompassing
72,0,5.0,64.0,28859.853850917003,34482.66953488079,64.0,1.0,54.0,1.0,51.0,3.0,48.0,7.0,58.0,7.0,83.0,5.0,70.0,2.0,20.0,0.0,67.0,9.0,80.0,8.0,83.0,13.0,Encompassing
73,0,5.0,52.0,33789.44289542643,36682.18739073757,25.0,1.0,25.0,1.0,38.0,3.0,44.0,6.0,58.0,7.0,66.0,4.0,51.0,1.0,20.0,0.0,61.0,8.0,80.0,7.0,83.0,12.0,Encompassing
74,0,5.0,50.0,31835.8063147962,38311.854417132236,25.0,1.0,12.0,1.0,37.0,3.0,44.0,6.0,58.0,6.0,66.0,4.0,56.0,1.0,20.0,0.0,56.0,8.0,80.0,7.0,81.0,13.0,Encompassing
75,0,5.0,50.0,23689.565634919214,35765.89814926748,25.0,1.0,12.0,1.0,38.0,3.0,48.0,6.0,58.0,7.0,62.0,5.0,53.0,2.0,20.0,0.0,56.0,8.0,80.0,8.0,81.0,13.0,Encompassing
