,mu0,sigma0,mu1,sigma1,p00,p11,Ensemble
0,0.9847713290903931,2.0796594005710807,0.9927081485343391,1.0948961984059289,-0.6262597051840503,0.18444291475770824,Reconstruction + Noise
1,0.9863565905020193,1.898420071092766,0.9937815030592757,1.028062614934422,-0.512255259633982,0.1602366990713222,Reconstruction + Noise
2,0.9879505533226127,1.7534110236175755,0.995382852079838,0.9821336955018497,-0.500898787876358,0.09670366798404029,Reconstruction + Noise
3,0.9937387131146789,1.7260275882816147,0.9979404897439348,0.9125842157952531,-0.25332720284862104,0.06998517287371575,Reconstruction + Noise
4,0.9935863812859551,1.714454220587668,0.9957997702405709,0.9506059818070787,-0.37604250353369967,0.07783292969481248,Reconstruction + Noise
5,0.9784856807139144,1.9455967176488922,0.9929246662973051,1.116846591921986,-0.5718239562336385,0.2318801480216518,Reconstruction + Noise
6,0.9840571248477259,1.7050170315665418,0.9952833595886297,0.9842202634180699,-0.5649585199871742,0.13430304489211686,Reconstruction + Noise
7,0.9820798637389035,1.9171836789514818,0.993173050482413,1.088322198684008,-0.6068688970708727,0.1824645482102215,Reconstruction + Noise
8,0.9925062737027075,1.682884744863492,0.9958499442256759,0.9587758496248463,-0.46941610911010045,0.07076702957807024,Reconstruction + Noise
9,0.9806276064949239,2.024426200761897,0.9922149063312589,1.1102341192357392,-0.6684107805085379,0.21445439501981878,Reconstruction + Noise
10,0.9904598011648947,1.7711022871522313,0.9946477001115065,1.0120977831373557,-0.45986875701952046,0.10332550309995181,Reconstruction + Noise
11,0.982142174314135,1.8172924660441927,0.9939141548194041,1.0336995671983136,-0.49738613606088833,0.19395462961951093,Reconstruction + Noise
12,0.993161201450487,1.7166802197179518,0.9964586285161251,1.013330719255561,-0.41103535960176324,0.07993873094614512,Reconstruction + Noise
13,0.991539032459768,1.7932433846579234,0.9947000551984232,0.9675332005701498,-0.5080354746165853,0.10380519031105151,Reconstruction + Noise
14,0.9841333104898786,1.9294747279322033,0.9929548779323681,1.1226268438449918,-0.665230496913982,0.21767514584791148,Reconstruction + Noise
15,0.9851571318949363,1.9189143925907775,0.9936512485552448,1.078859411560537,-0.6468727455545563,0.16571339497361282,Reconstruction + Noise
16,0.9894744342909054,1.814006980126852,0.9949599096859126,0.9961776428740039,-0.657210655469715,0.08755065759602532,Reconstruction + Noise
17,0.992153374671583,1.5697457712023501,0.9969270759863802,0.9490933904178602,-0.3892925340644695,0.029954844567433248,Reconstruction + Noise
18,0.9816957653307387,1.9807181389953548,0.9923603424018502,1.086943283671182,-0.677540588443001,0.19963995098465526,Reconstruction + Noise
19,0.9887235891638227,1.801118826448773,0.9942873182295453,0.9836927945539039,-0.5247575913776655,0.13151696819539993,Reconstruction + Noise
20,0.9946222613981589,1.6596658000150977,0.9965612527361177,0.9828499084569766,-0.43256664180527216,0.016658698655956483,Reconstruction + Noise
21,0.996309283707224,1.6388205430798404,0.9967010005194983,0.9943006415338704,-0.29608496071738943,0.042458202007960355,Reconstruction + Noise
22,0.98644766603383,1.8222473216031432,0.9942263283338009,1.025888357303153,-0.45570287695666767,0.163623173093548,Reconstruction + Noise
23,1.0081165181530836,1.81311313130822,0.9933239988732895,0.8772625163374872,-0.6440723615564026,-0.46625799267765367,Reconstruction + Noise
24,0.9884009669432723,1.642530585517,0.9951368856903013,0.9562686004384559,-0.5335583517315474,0.09801581420729932,Reconstruction + Noise
25,0.9923243938424512,1.7275931039660932,0.9952810979881985,0.9923469906392728,-0.38267674050113154,0.08710891852954683,Reconstruction + Noise
26,0.9825885263015719,1.7571001713653085,0.9945928223878192,1.0433872157308772,-0.5300214613005477,0.16815256795896827,Reconstruction + Noise
27,0.982553135640656,1.9571523337432264,0.992625624476269,1.0672902989504887,-0.6774045101516281,0.18675678224278647,Reconstruction + Noise
28,0.9975384175978577,1.5309256746121127,0.9990465255241383,0.8703817828843141,-0.21597169383902515,-0.056617351163960605,Reconstruction + Noise
29,0.989895580168928,1.7354923750917575,0.9942786302734684,0.9580126045586882,-0.4032841417650574,0.13053985407131763,Reconstruction + Noise
30,1.0080138244181311,1.7847550008627422,0.9931530795444311,0.9090249963978675,-0.5777103322061619,-0.6281730927614969,Reconstruction + Noise
31,0.9745787217043547,2.0367173801133105,0.9930289378478931,1.0824426544636012,-0.6780892983996676,0.22740839155681813,Reconstruction + Noise
32,0.9851777641093917,1.9759303887524093,0.99247066236112,1.0252472973080584,-0.6665904620938248,0.1764712553520259,Reconstruction + Noise
33,0.983660583916557,1.9537442662610345,0.9920015716893166,1.137857240873667,-0.6720838032534389,0.20213388839980606,Reconstruction + Noise
34,0.9884974616885136,1.769360330187012,0.9957152643729498,0.9763302622621522,-0.5281349730027911,0.08169323026326902,Reconstruction + Noise
35,0.9871354573595202,1.9638966705496548,0.9942903373559292,1.0335278153997074,-0.6514896024539318,0.1343761779741277,Reconstruction + Noise
36,0.9782008494357247,1.936068804751116,0.9927140233852437,1.1257050016459493,-0.6453442760738393,0.22329848211265602,Reconstruction + Noise
37,0.9915089021846,1.7002876662589483,0.9955510383643005,0.9561033021951847,-0.4368774772274528,0.07287939826843748,Reconstruction + Noise
38,0.9886597509260847,1.807460385151348,0.9951415491262149,1.041162999589006,-0.4880087610919485,0.1359007882187433,Reconstruction + Noise
39,0.9832868995480901,1.8041583357793896,0.9940951940412232,1.0502354903569973,-0.5137557695608206,0.17726640549005668,Reconstruction + Noise
40,0.9882380161329135,1.845478249414467,0.9945590028821795,1.015470769386626,-0.5957893271367355,0.10341716684364255,Reconstruction + Noise
